Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Swift.g4 	 221 	 416 	34 	 89.14027149321268% 	 86.53846153846155% 	 479
tnt.g4 	 18 	 29 	2 	 100.0% 	 100.0% 	 29
TURTLE.g4 	 50 	 102 	44 	 100.0% 	 100.0% 	 115
Verilog2001.g4 	 17 	 18 	6 	 100.0% 	 100.0% 	 22
WebIDL.g4 	 97 	 218 	23 	 100.0% 	 100.0% 	 255
Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 25 	 32 	3 	 100.0% 	 100.0% 	 37
asm6502.g4 	 24 	 158 	4 	 91.66666666666666% 	 17.72151898734177% 	 159
bnf.g4 	 30 	 46 	7 	 100.0% 	 100.0% 	 47
C.g4 	 117 	 300 	54 	 100.0% 	 92.66666666666666% 	 320
Clojure.g4 	 23 	 60 	28 	 100.0% 	 100.0% 	 60
creole.g4 	 28 	 57 	4 	 92.85714285714286% 	 68.42105263157895% 	 57
CSV.g4 	 6 	 8 	2 	 100.0% 	 100.0% 	 8
DOT.g4 	 31 	 41 	5 	 100.0% 	 100.0% 	 45
Erlang.g4 	 115 	 210 	10 	 94.78260869565217% 	 85.23809523809524% 	 224
fasta.g4 	 14 	 31 	18 	 100.0% 	 100.0% 	 31
gff3.g4 	 21 	 31 	3 	 100.0% 	 100.0% 	 38
ICalendar.g4 	 442 	 689 	85 	 100.0% 	 100.0% 	 857
IDL.g4 	 260 	 369 	61 	 100.0% 	 100.0% 	 409
IRI.g4 	 87 	 174 	28 	 100.0% 	 100.0% 	 217
Java.g4 	 162 	 298 	11 	 100.0% 	 100.0% 	 331
JSON.g4 	 10 	 20 	7 	 100.0% 	 100.0% 	 22
jvmBasic.g4 	 239 	 348 	36 	 99.581589958159% 	 99.42528735632183% 	 361
Little.g4 	 2 	 3 	2 	 100.0% 	 100.0% 	 3
logo.g4 	 50 	 86 	29 	 100.0% 	 100.0% 	 89
ObjC.g4 	 167 	 327 	23 	 97.60479041916167% 	 92.66055045871559% 	 360
PCRE.g4 	 171 	 370 	74 	 100.0% 	 100.0% 	 407
PGN.g4 	 28 	 33 	4 	 100.0% 	 100.0% 	 34
Purdom.g4 	 4 	 7 	2 	 100.0% 	 100.0% 	 7
redcode.g4 	 36 	 63 	17 	 100.0% 	 100.0% 	 63
SampleGrammar.g4 	 4 	 5 	2 	 100.0% 	 100.0% 	 5
Smalltalk.g4 	 87 	 131 	4 	 56.32183908045977% 	 49.61832061068702% 	 144
SQLite.g4 	 301 	 507 	30 	 98.33887043189368% 	 95.26627218934911% 	 623
Swift.g4 	 221 	 416 	34 	 89.14027149321268% 	 86.53846153846155% 	 479
tnt.g4 	 18 	 29 	2 	 100.0% 	 100.0% 	 29
TURTLE.g4 	 50 	 102 	44 	 100.0% 	 100.0% 	 115
Verilog2001.g4 	 17 	 18 	6 	 100.0% 	 100.0% 	 22
WebIDL.g4 	 97 	 218 	23 	 100.0% 	 100.0% 	 255
Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 25 	 32 	3 	 100.0% 	 100.0% 	 37
asm6502.g4 	 24 	 158 	4 	 91.66666666666666% 	 17.72151898734177% 	 159
bnf.g4 	 30 	 46 	7 	 100.0% 	 100.0% 	 47
C.g4 	 117 	 300 	54 	 100.0% 	 92.66666666666666% 	 320
Clojure.g4 	 23 	 60 	28 	 100.0% 	 100.0% 	 60
creole.g4 	 28 	 57 	4 	 92.85714285714286% 	 68.42105263157895% 	 57
CSV.g4 	 6 	 8 	2 	 100.0% 	 100.0% 	 8
DOT.g4 	 31 	 41 	5 	 100.0% 	 100.0% 	 45
Erlang.g4 	 115 	 210 	10 	 94.78260869565217% 	 85.23809523809524% 	 224
fasta.g4 	 14 	 31 	18 	 100.0% 	 100.0% 	 31
gff3.g4 	 21 	 31 	3 	 100.0% 	 100.0% 	 38
ICalendar.g4 	 442 	 689 	85 	 100.0% 	 100.0% 	 857
IDL.g4 	 260 	 369 	61 	 100.0% 	 100.0% 	 409
IRI.g4 	 87 	 174 	28 	 100.0% 	 100.0% 	 217
Java.g4 	 162 	 298 	11 	 100.0% 	 100.0% 	 331
JSON.g4 	 10 	 20 	7 	 100.0% 	 100.0% 	 22
jvmBasic.g4 	 239 	 348 	36 	 99.581589958159% 	 99.42528735632183% 	 361
Little.g4 	 2 	 3 	2 	 100.0% 	 100.0% 	 3
logo.g4 	 50 	 86 	29 	 100.0% 	 100.0% 	 89
ObjC.g4 	 167 	 327 	23 	 97.60479041916167% 	 92.66055045871559% 	 360
PCRE.g4 	 171 	 370 	74 	 100.0% 	 100.0% 	 407
PGN.g4 	 28 	 33 	4 	 100.0% 	 100.0% 	 34
Purdom.g4 	 4 	 7 	2 	 100.0% 	 100.0% 	 7
redcode.g4 	 36 	 63 	17 	 100.0% 	 100.0% 	 63
SampleGrammar.g4 	 4 	 5 	2 	 100.0% 	 100.0% 	 5
Smalltalk.g4 	 87 	 131 	4 	 56.32183908045977% 	 49.61832061068702% 	 144
SQLite.g4 	 301 	 507 	30 	 98.33887043189368% 	 95.26627218934911% 	 623
Swift.g4 	 221 	 416 	34 	 89.14027149321268% 	 86.53846153846155% 	 479
tnt.g4 	 18 	 29 	2 	 100.0% 	 100.0% 	 29
TURTLE.g4 	 50 	 102 	44 	 100.0% 	 100.0% 	 115
Verilog2001.g4 	 17 	 18 	6 	 100.0% 	 100.0% 	 22
WebIDL.g4 	 97 	 218 	23 	 100.0% 	 100.0% 	 255
Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 25 	 32 	3 	 100.0% 	 100.0% 	 37
asm6502.g4 	 24 	 158 	4 	 91.66666666666666% 	 17.72151898734177% 	 159
bnf.g4 	 30 	 46 	7 	 100.0% 	 100.0% 	 47
C.g4 	 117 	 300 	54 	 100.0% 	 92.66666666666666% 	 320
Clojure.g4 	 23 	 60 	28 	 100.0% 	 100.0% 	 60
creole.g4 	 28 	 57 	4 	 92.85714285714286% 	 68.42105263157895% 	 57
CSV.g4 	 6 	 8 	2 	 100.0% 	 100.0% 	 8
DOT.g4 	 31 	 41 	5 	 100.0% 	 100.0% 	 45
Erlang.g4 	 115 	 210 	10 	 94.78260869565217% 	 85.23809523809524% 	 224
fasta.g4 	 14 	 31 	18 	 100.0% 	 100.0% 	 31
gff3.g4 	 21 	 31 	3 	 100.0% 	 100.0% 	 38
ICalendar.g4 	 442 	 689 	85 	 100.0% 	 100.0% 	 857
IDL.g4 	 260 	 369 	61 	 100.0% 	 100.0% 	 409
IRI.g4 	 87 	 174 	28 	 100.0% 	 100.0% 	 217
Java.g4 	 162 	 298 	11 	 100.0% 	 100.0% 	 331
JSON.g4 	 10 	 20 	7 	 100.0% 	 100.0% 	 22
jvmBasic.g4 	 239 	 348 	36 	 99.581589958159% 	 99.42528735632183% 	 361
Little.g4 	 2 	 3 	2 	 100.0% 	 100.0% 	 3
logo.g4 	 50 	 86 	29 	 100.0% 	 100.0% 	 89
ObjC.g4 	 167 	 327 	23 	 97.60479041916167% 	 92.66055045871559% 	 360
PCRE.g4 	 171 	 370 	74 	 100.0% 	 100.0% 	 407
PGN.g4 	 28 	 33 	4 	 100.0% 	 100.0% 	 34
Purdom.g4 	 4 	 7 	2 	 100.0% 	 100.0% 	 7
redcode.g4 	 36 	 63 	17 	 100.0% 	 100.0% 	 63
SampleGrammar.g4 	 4 	 5 	2 	 100.0% 	 100.0% 	 5
Smalltalk.g4 	 87 	 131 	4 	 56.32183908045977% 	 49.61832061068702% 	 144
SQLite.g4 	 301 	 507 	30 	 98.33887043189368% 	 95.26627218934911% 	 623
Swift.g4 	 221 	 416 	34 	 89.14027149321268% 	 86.53846153846155% 	 479
tnt.g4 	 18 	 29 	2 	 100.0% 	 100.0% 	 29
TURTLE.g4 	 50 	 102 	44 	 100.0% 	 100.0% 	 115
Verilog2001.g4 	 17 	 18 	6 	 100.0% 	 100.0% 	 22
WebIDL.g4 	 97 	 218 	23 	 100.0% 	 100.0% 	 255
Grammar	  N	  P	  No.Sen.	  NC	  PC	 
Abnf.g4 	 25 	 32 	3 	 100.0% 	 100.0% 	 37
asm6502.g4 	 24 	 158 	4 	 91.66666666666666% 	 17.72151898734177% 	 159
bnf.g4 	 30 	 46 	7 	 100.0% 	 100.0% 	 47
C.g4 	 117 	 300 	54 	 100.0% 	 92.66666666666666% 	 320
Clojure.g4 	 23 	 60 	28 	 100.0% 	 100.0% 	 60
creole.g4 	 28 	 57 	4 	 92.85714285714286% 	 68.42105263157895% 	 57
CSV.g4 	 6 	 8 	2 	 100.0% 	 100.0% 	 8
DOT.g4 	 31 	 41 	5 	 100.0% 	 100.0% 	 45
Erlang.g4 	 115 	 210 	10 	 94.78260869565217% 	 85.23809523809524% 	 224
fasta.g4 	 14 	 31 	18 	 100.0% 	 100.0% 	 31
gff3.g4 	 21 	 31 	3 	 100.0% 	 100.0% 	 38
ICalendar.g4 	 442 	 689 	85 	 100.0% 	 100.0% 	 857
IDL.g4 	 260 	 369 	61 	 100.0% 	 100.0% 	 409
IRI.g4 	 87 	 174 	28 	 100.0% 	 100.0% 	 217
Java.g4 	 162 	 298 	11 	 100.0% 	 100.0% 	 331
JSON.g4 	 10 	 20 	7 	 100.0% 	 100.0% 	 22
jvmBasic.g4 	 239 	 348 	36 	 99.581589958159% 	 99.42528735632183% 	 361
Little.g4 	 2 	 3 	2 	 100.0% 	 100.0% 	 3
logo.g4 	 50 	 86 	29 	 100.0% 	 100.0% 	 89
ObjC.g4 	 167 	 327 	23 	 97.60479041916167% 	 92.66055045871559% 	 360
PCRE.g4 	 171 	 370 	74 	 100.0% 	 100.0% 	 407
PGN.g4 	 28 	 33 	4 	 100.0% 	 100.0% 	 34
Purdom.g4 	 4 	 7 	2 	 100.0% 	 100.0% 	 7
redcode.g4 	 36 	 63 	17 	 100.0% 	 100.0% 	 63
SampleGrammar.g4 	 4 	 5 	2 	 100.0% 	 100.0% 	 5
Smalltalk.g4 	 87 	 131 	4 	 56.32183908045977% 	 49.61832061068702% 	 144
SQLite.g4 	 301 	 507 	30 	 98.33887043189368% 	 95.26627218934911% 	 623
Swift.g4 	 221 	 416 	34 	 89.14027149321268% 	 86.53846153846155% 	 479
tnt.g4 	 18 	 29 	2 	 100.0% 	 100.0% 	 29
TURTLE.g4 	 50 	 102 	44 	 100.0% 	 100.0% 	 115
Verilog2001.g4 	 17 	 18 	6 	 100.0% 	 100.0% 	 22
WebIDL.g4 	 97 	 218 	23 	 100.0% 	 100.0% 	 255
